"track_id","duration_ms","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","id"
"2JaCyH4hPvnxVlQVSo6jFg",195331,"Pressure",21,0.0721,0.468,0.87,9.32e-05,11,0.0888,-6.809,1,0.055,165.349,4,0.64,227
"2p63LoJNfFVnW3CR54b6QE",211494,"Punching Up",11,0.00186,0.267,0.734,0.0534,2,0.116,-7.999,1,0.0727,207.72,4,0.307,227
"4DtQC4Gt54AKOsO5aTlTFX",101215,"Go",14,0.0114,0.309,0.638,0.000547,9,0.11,-8.181,1,0.0628,126.731,4,0.349,227
"4jGcVqwNOHYKtYqz3kATQp",186076,"Business Unusual",8,0.134,0.524,0.715,3.47e-05,11,0.405,-8.223,1,0.0284,128.248,4,0.594,227
"4qAMqiH4jkCEsKG4kW5Bfh",226154,"Material",11,0.0143,0.416,0.838,0.784,8,0.0701,-4.498,1,0.0825,141.886,4,0.254,227
"4QlGEpaxOgKxkRxOI7WHZ4",159713,"XYZ",13,0.0336,0.361,0.859,0.863,11,0.106,-5.546,1,0.0914,160.343,4,0.569,227
"6oGNVHoRFPBPl8QiT7uTJV",215233,"Sun Come And Golden",12,0.12,0.618,0.674,0.000262,2,0.096,-7.657,1,0.033,122.054,4,0.763,227
"6rNIOIuVgJeftM3T0f0AVg",143822,"Who’s Got Time?",24,0.000109,0.258,0.868,0.798,4,0.213,-4.362,1,0.0435,160.14,4,0.6,227
"0MJFqTdo0C6sKUji96N6FL",181512,"Paper & Strife",18,0.042,0.5,0.886,6.53e-06,4,0.131,-7.191,0,0.0665,152.033,4,0.523,228
"1GhTjSd0wz87rXtGlfVBr8",231979,"How to Shake Hands",26,0.00085,0.366,0.923,4.92e-06,7,0.102,-6.081,1,0.103,160.028,4,0.429,228
"1jtcUacUA5Tiiy6zrodjP5",212543,"Gimme the Keys",29,0.00138,0.335,0.764,2.26e-05,7,0.335,-7.739,1,0.0829,111.903,3,0.533,228
"1kvItKgiVZpiy1BLEPWtnH",181320,"H.B. Is in Control",20,0.00114,0.517,0.91,0.000149,9,0.117,-6.535,1,0.0434,133.886,4,0.576,228
"1tRTfHs8ngIzHn9PgGYqrB",198292,"Vision Quest",20,0.000523,0.388,0.91,0.00031,0,0.286,-5.206,0,0.0619,167.03,4,0.497,228
