,Id,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Ranked,Num_of_RYM_Ratings
0,cuco2019parami,Para mi,Cuco,26 July 2019,2.46,"Alternative R&B, Bedroom Pop, Hypnagogic Pop","male vocals,  lethargic,  love,  breakup",English,"['Intro', 'Keeping Tabs', 'Bossa no sé', 'Perihelion (Interlude)', 'Feelings', 'Lovetripper', 'Ego Death in Thailand', 'Hydrocodone', 'Far Away From Home', 'Brokey the Pear (Interlude)', 'Best Friend', 'Room Tone (Interlude)', 'Do Better']","['#ed3223', '#ee5720', '#8b8cab', '#384ea3', '#5a857c', '#9ca0cf', '#7f2318', '#8b92c8', '#bcb4e7', '#b8a388']",,410
0,filthyfriends2019emeley,Emerald Valley,Filthy Friends,3 May 2019,2.79,Indie Rock,,,"['Emerald Valley', 'Pipeline', 'November Man', 'Only Lovers Are Broken', 'Angels', 'The Elliott', 'One Flew East', 'Break Me', 'Last Chance County', 'Hey Lacey']","['#c4b5b0', '#119758', '#666263', '#8b8a85']",,68
0,thelemonheads2019varns2,Varshons II,The Lemonheads,8 February 2019,2.88,"Alternative Rock, Power Pop
Folk Rock",,English,"[""Can't Forget"", 'Settled Down Like Rain', 'Old Man Blank', 'Things', 'Speed of the Sound of Loneliness', 'Abandoned', 'Now and Then', 'Magnet', 'Round Here', 'TAQN', 'Unfamiliar', 'Straight to You', 'Take It Easy']","['#235f67', '#8ab2bc', '#5e8a35', '#7aaf9d']",,106
0,williampatrickcorgan2019cotons,Cotillions,William Patrick Corgan,22 November 2019,3.01,"Acoustic Rock, Alt-Country
Singer-Songwriter, Americana","melodic,  acoustic,  male vocals,  love,  pastoral,  poetic,  longing,  cryptic",English,"[""To Scatter One's Own"", 'Hard Times', 'Jubilee', 'Fragile, the Spark', 'Cotillions', ""Faithless Darlin'"", 'Colosseum', 'Martinets', 'Buffalo Boys', 'Dancehall', 'Cri de Coeur', 'Like Lambs', 'Rider', 'Apologia', 'Neptulius', '6+7', 'Anon']","['#7a7a7a', '#cccccc']",,136
0,chakakhan2019heless,Hello Happiness,Chaka Khan,15 February 2019,3.12,"Soul, Synth Funk
Funktronica, Boogie, Nu-Disco, Pop Soul","female vocals,  rhythmic,  happy,  party,  love,  energetic",English,"['Hello Happiness', 'Like a Lady', ""Don't Cha Know"", 'Too Hot', 'Like Sugar', ""Isn't That Enough"", 'Ladylike']","['#c2bdac', '#c7c7c7', '#81919e', '#5a3421', '#406f81', '#305164', '#d8c4a3', '#98b8c5', '#979c98', '#a98471']","#1,463 for 2019",234
0,gangoffour2019hapnow,Happy Now,Gang of Four,19 April 2019,2.17,"Alternative Dance
Synthpop, Post-Punk","political,  male vocals",English,"['Toreador', 'Alpha Male', 'One True Friend', ""Ivanka – My Name's on It"", ""Don't Ask Me"", 'Change the Locks', ""I'm a Liar"", 'White Lie', 'Paper Thin', 'Lucky [bonus track]']","['#bdb3aa', '#9c9e99', '#6b6f61', '#af773c', '#005685']",,199
0,why2019aokhio,AOKOHIO,WHY?,9 August 2019,2.95,"Indie Pop
Abstract Hip Hop, Neo-Psychedelia, Art Pop","introspective,  concept album,  abstract,  playful,  bittersweet,  male vocals",English,"['Apogee', 'The Rash', 'Peel Free', 'Reason', 'Deleterio Motilis', 'Stained Glass Slipper', 'The Launch', 'High Dive', 'Mr. Fifths’ Plea', 'Good Fire', 'Narcissistic Lamentation', 'Krevin’', 'The Crippled Physician', 'Ustekinumab', 'My Original', 'Rock Candy', 'Once Shy', 'The Shame', 'Bloom Wither Bloom (For Mom)']","['#673c46', '#95294b', '#af7d74', '#3e6050', '#991d39', '#bab4bc']","#1,559 for 2019",272
0,rickross2019pormi2,Port of Miami 2,Rick Ross,9 August 2019,2.87,"Southern Hip Hop, Trap
Pop Rap, Gangsta Rap","boastful,  crime,  atmospheric,  rhythmic,  triumphant,  male vocals",,"['Act a Fool', 'Turnpike Ike', ""Nobody's Favorite"", 'Summer Reign', 'White Lines', 'Big Tyme', 'Bogus Charms', 'Rich Nigga Lifestyle', 'Born to Kill', 'Fascinated', 'I Still Pray', 'Running the Streets', 'Vegas Residency', 'Maybach Music VI', 'Gold Roses']","['#888888', '#7b7b7b', '#bcbcbc', '#656476']","#1,654 for 2019",527
0,temples2019hotion,Hot Motion,Temples,27 September 2019,3.05,"Neo-Psychedelia, Glam Rock
Psychedelic Pop","psychedelic,  male vocals,  melodic",,"['Hot Motion', ""You're Either on Something"", 'Holy Horses', 'The Howl', 'Context', 'The Beam', 'Not Quite the Same', 'Atomise', ""It's All Coming Out"", 'Step Down', 'Monuments']","['#7f2318', '#8b8893', '#82634f', '#ce8775']","#1,253 for 2019",472
0,methylethel2019triage,Triage,Methyl Ethel,15 February 2019,3.21,"Psychedelic Pop, Indie Pop, Art Pop
Synthpop, Dream Pop, Neo-Psychedelia","androgynous vocals,  melodic,  rhythmic,  playful,  psychedelic,  love,  anxious,  cryptic",English,"['Ruiner', 'Scream Whole', 'All the Elements', 'Trip the Mains', 'Post-Blue', 'Real Tight', 'Hip Horror', 'What About the 37º?', 'No Fighting']","['#878787', '#b8a191', '#747b83', '#a8b0b2', '#c2b4a4']",#956 for 2019,420
