,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Num_of_RYM_Ratings
0,Shame,Uniform,11 September 2020,3.4,"Industrial Metal, Noise Rock
Sludge Metal, Hardcore Punk, Power Electronics","noisy,  aggressive,  energetic,  heavy,  male vocals,  hateful,  dissonant,  nihilistic,  dense,  self-hatred,  existential,  nocturnal,  misanthropic,  mechanical,  anti-religious,  pessimistic,  dark,  atmospheric,  introspective,  ominous",English,"['Delco', ""The Shadow of God's Hand"", 'Life in Remission', 'Shame', ""All We've Ever Wanted"", 'Dispatches From the Gutter', ""This Won't End Well"", 'I Am the Cancer']","['#7c7a7b', '#b4b3b1', '#696864', '#969694', '#a09f9d', '#ccccca']",624
0,I Love the New Sky,Tim Burgess,22 May 2020,3.07,"Pop Rock, Singer-Songwriter
Art Rock",male vocals,English,"['Empathy for the Devil', 'Sweetheart Mercury', ""Comme D'Habitude"", 'Sweet Old Sorry Me', 'The Warhol Me', 'Lucky Creatures', 'The Mall', 'Timothy', 'Only Took a Year', 'I Got This', 'Undertow', 'Laurie']","['#ada99e', '#b2b8ba', '#b1adac', '#959d9f', '#a8a7a5']",111
0,Shadow of Fear,Cabaret Voltaire,20 November 2020,3.16,"Post-Industrial
Techno, Industrial Techno, Ambient Techno","ritualistic,  repetitive,  anxious,  raw,  dark,  psychedelic,  urban,  cold,  futuristic,  mechanical,  ominous",English,"['Be Free', 'The Power (Of Their Knowledge)', 'Night of the Jackal', 'Microscopic Flesh Fragment', 'Papa Nine Zero Delta United', 'Universal Energy', 'Vasto', ""What's Goin' On""]","['#7b7b85', '#acacac', '#7b7a7a', '#a3a7a4']",275
0,Are You in Love?,Basia Bulat,27 March 2020,3.27,"Folk Pop, Singer-Songwriter
Indie Folk, Indie Pop, Chamber Pop","female vocals,  love",English,"['Are You in Love?', 'Electric Roses', 'Your Girl', 'Light Years', 'Homesick', 'Hall of Mirrors', 'I Believe It Now', 'No Control', 'Pale Blue', 'Already Forgiven', 'The Last Time', 'Fables', 'Love Is at the End of the World']","['#abadaa', '#87908f', '#804e5a', '#54672f', '#a5a34e', '#c2a88f', '#acb0a4', '#c6c0b4', '#bb8c82', '#9da52c']",210
0,Through Water,Låpsley,20 March 2020,3.12,"Ambient Pop, Art Pop, Indietronica
Alternative R&B, Synthpop, Alt-Pop","peaceful,  rhythmic,  female vocals,  aquatic,  atmospheric,  androgynous vocals,  lush,  introspective,  love,  warm",English,"['Through Water', 'My Love Was Like the Rain', 'First', 'Ligne 3', 'Our Love Is a Garden', 'Leeds Liverpool Canal', 'Sadness Is a Shade of Blue', 'Womxn', 'Bonfire', 'Speaking of the End']","['#7d8c9f', '#003d59', '#11545d', '#197081']",280
0,The Slow Rush,Tame Impala,14 February 2020,3.1,"Psychedelic Pop, Neo-Psychedelia, Synthpop
Indietronica, Nu-Disco, Balearic Beat","male vocals,  introspective,  psychedelic,  melodic,  warm,  atmospheric,  mellow,  bittersweet,  existential,  lush,  love,  melancholic,  sentimental,  dense,  longing,  rhythmic,  lonely,  summer,  ethereal,  hypnotic,  quirky,  surreal,  spiritual,  party,  philosophical,  sensual,  sampling,  triumphant,  energetic,  peaceful",English,"['One More Year', 'Instant Destiny', 'Borderline', 'Posthumous Forgiveness', 'Breathe Deeper', 'Tomorrow’s Dust', 'On Track', 'Lost in Yesterday', 'Is It True', 'It Might Be Time', 'Glimmer', 'One More Hour']","['#a41706', '#a5827c', '#72341d', '#8f432b']",12585
0,Power Up,AC/DC,13 November 2020,2.87,"Hard Rock
Blues Rock","male vocals,  rhythmic,  energetic,  passionate,  anthemic,  hedonistic,  boastful,  rebellious,  melodic",English,"['Realize', 'Rejection', 'Shot in the Dark', 'Through the Mists of Time', ""Kick You When You're Down"", ""Witch's Spell"", 'Demon Fire', 'Wild Reputation', ""No Man's Land"", 'Systems Down', 'Money Shot', 'Code Red']","['#907b7a', '#880e03', '#9e0d0a', '#e73010']",1858
0,Featuring Ty Dolla $ign,Ty Dolla $ign,23 October 2020,2.72,"Contemporary R&B, Pop Rap, West Coast Hip Hop
Trap, Neo-Soul","male vocals,  melodic,  sexual,  uplifting,  boastful,  eclectic,  repetitive,  concept album,  playful,  party",English,"['Intro', 'Status', 'Temptations', 'serpentwithfeet Interlude', 'Spicy', 'Track 6', 'Freak', 'Double R', 'Expensive', 'Burna Boy Interlude', 'Tyrone 2021', ""It's Still Free TC"", 'Real Life', 'Nothing Like Your Exes', 'By Yourself', 'Universe', 'Lift Me Up', 'Time Will Tell', 'Dr. Sebi', 'Powder Blue', 'Everywhere', 'Slow It Down', 'Your Turn', 'Return', 'Ego Death']","['#858a9e', '#c59fbd', '#cf75cd', '#231084']",828
0,XOXO,The Jayhawks,10 July 2020,3.25,"Alt-Country, Southern Rock
Country Rock","male vocals,  female vocals",English,"['This Forgotten Town', 'Dogtown Days', 'Living in a Bubble', 'Ruby', 'Homecoming', 'Society Pages', 'Illuminate', 'Bitter Pill', 'Across My Field', 'Little Victories', 'Down to the Farm', 'Looking Up Your Number', 'Jewel of the Trimble [bonus track]', 'Then You Walked Away [bonus track]', ""Hypocrite's Lament [bonus track]""]","['#ca9c78', '#6f4e3f', '#917665', '#9e9791']",203
0,Book of Curses,Adulkt Life,6 November 2020,3.09,"Post-Punk, Post-Hardcore
Noise Rock","rhythmic,  political,  anxious,  rebellious,  noisy,  male vocals,  energetic",English,"['Country Pride', 'JNR Showtime', 'Whistle / Country', 'Taking Hits', 'Flipper', 'Stevie K', 'Room Context', 'Move', 'Clean (But Itchy)', 'New Curfew']","['#847e80', '#7e7a7b', '#6c6a6b', '#7b797a']",121
0,Somewhere,Gum Country,19 June 2020,3.18,"Slacker Rock, Neo-Psychedelia, Indie Rock
Bedroom Pop","lo-fi,  psychedelic",English,"['Somewhere', 'The Queen Rules', 'Tennis (I Feel Ok)', ""There's a Crumb"", ""I Don't Stay Up"", 'Pills', 'Brian Song', 'It Lives It Breeds It Feeds', 'Woah Oh', 'Talking to My Plants', 'Jungle Boy', 'Waterfall']","['#7a7a7a', '#058562', '#5b1c13', '#4fa044']",149
0,Pure Luxury,NZCA Lines,10 July 2020,3.16,"Synthpop, Synth Funk",,,"['Pure Luxury', 'Real Good Time', 'Prisoner of Love', 'For Your Love', 'Take This Apart', 'Opening Night', 'Larsen', 'Primp & Shine', 'Tonight Is All That Really Matters']","['#24a3da', '#cd3657', '#ff74aa', '#baa77a']",66
0,E3 AF,Dizzee Rascal,30 October 2020,3.24,"UK Hip Hop
Grime, Trap, UK Drill","male vocals,  rhythmic,  atmospheric,  violence,  urban,  crime,  dark",English,"['God Knows', ""That's Too Much"", 'L.L.L.L. (Love Life Live Large)', 'Body Loose', ""You Don't Know (Radio Edit)"", 'Energies + Powers', 'Eastside', 'Act Like You Know', ""Don't Be Dumb"", 'Be Incredible']","['#7e7a8a', '#55556f', '#9f9357', '#dcb200']",355
0,I Grow Tired But Dare Not Fall Asleep,Ghostpoet,1 May 2020,3.2,"Art Pop, Art Rock
Post-Punk, Trip Hop, UK Hip Hop, Spoken Word","existential,  poetic,  male vocals,  nocturnal,  warm,  conscious,  rhythmic,  alienation,  introspective",,"['Breaking Cover', 'Concrete Pony', 'Humana Second Hand', 'Black Dog Got Silver Eyes', 'Rats in a Sack', 'This Trainwreck of a Life', 'Nowhere to Hide Now', 'When Mouths Collide', 'I Grow Tired But Dare Not Fall Asleep', 'Social Lacerations']","['#88888a', '#ababa9', '#912719', '#7a7a7a']",344
0,Our Two Skins,Gordi,26 June 2020,3.14,Pop Rock,,English,"['Aeroplane Bathroom', 'Unready', 'Sandwiches', 'Volcanic', 'Radiator', 'Extraordinary Life', 'Hate the World', 'Look Like You', 'Limits', 'Free Association']","['#acc2ad', '#bb9d67', '#805329', '#cec396']",115
0,Healing Is a Miracle,Julianna Barwick,10 July 2020,3.39,"Ambient
Choral, New Age, Ambient Pop","ethereal,  calm,  female vocals,  lush,  atmospheric,  choral,  spiritual,  meditative,  peaceful,  warm,  soothing",,"['Inspirit', 'Oh, Memory', 'Healing Is a Miracle', 'In Light', 'Safe', 'Flowers', 'Wishing Well', 'Nod']","['#80becb', '#7b97a2', '#25616c', '#7a876b']",1681
0,Jump Rope Gazers,The Beths,10 July 2020,3.43,"Indie Rock
Power Pop, Indie Pop","longing,  bittersweet,  female vocals,  melancholic,  melodic,  summer,  love,  energetic,  male vocals,  mellow",English,"[""I'm Not Getting Excited"", 'Dying to Believe', 'Jump Rope Gazers', 'Acrid', 'Do You Want Me Now', 'Out of Sight', ""Don't Go Away"", 'Mars, the God of War', 'You Are a Beam of Light', 'Just Shy of Sure']","['#4f692c', '#3e5c20', '#97a292', '#de5c2b', '#a96c4d', '#942f1b']",1624
0,Bonny Light Horseman,Bonny Light Horseman,24 January 2020,3.4,"Contemporary Folk, Americana","peaceful,  folklore,  sad,  poetic,  calm,  love,  male vocals,  soothing,  female vocals",English,"['Bonny Light Horseman', 'Deep in Love', 'The Roving', 'Jane Jane', 'Blackwaterside', ""Magpie's Nest"", 'Lowlands', 'Mountain Rain', 'Bright Morning Stars', '10,000 Miles']","['#a6a5a2', '#aeada9', '#908f8b', '#989a99', '#555450']",814
0,Sam Amidon,Sam Amidon,23 October 2020,3.39,"Contemporary Folk, Singer-Songwriter
Alt-Country, Bluegrass, Ambient, Americana, Indie Folk","mellow,  happy,  melodic,  atmospheric,  lush,  pastoral,  male vocals",English,"['Maggie', 'Pretty Polly', 'Light Rain Blues', ""Spanish Merchant's Daughter"", 'Reuben', 'Hallelujah', 'Cuckoo', 'Time Has Made a Change', 'Sundown']","['#845c77', '#a4a68e', '#b0b2ad', '#b7bdb1', '#9d8d8d']",128
0,Blackbirds,Bettye Lavette,28 August 2020,3.3,"Deep Soul, Soul Blues",,English,"['Hold No Grudge', 'One More Song', 'Blues for the Weepers', 'Book of Lies', 'Romance in the Dark', 'Drinking Again', 'Strange Fruit', 'Save Your Love for Me', 'Blackbird']","['#909998', '#5a3638', '#b26263', '#9e847a']",54
0,Getting Into Knives,The Mountain Goats,23 October 2020,3.21,"Folk Rock, Indie Folk
Indie Rock, Country Rock, Singer-Songwriter","male vocals,  lush,  eclectic,  melancholic,  mellow,  bittersweet,  rhythmic,  nature,  autumn",English,"['Corsican Mastiff Stride', 'Get Famous', 'Picture of My Dress', 'As Many Candles as Possible', 'Tidal Wave', 'Pez Dorado', 'The Last Place I Saw You Alive', 'Bell Swamp Connection', 'The Great Gold Sheep', 'Rat Queen', 'Wolf Count', 'Harbor Me', 'Getting Into Knives']","['#8f8f97', '#bab0af', '#627b7f', '#899392']",843
0,Trip,Lambchop,13 November 2020,2.91,"Americana
Chamber Pop, Slowcore","male vocals,  mellow,  eclectic,  male vocals",English,"['Reservations', ""Where the Grass Won't Grow"", 'Shirley', 'Golden Lady', ""Love Is Here and Now You're Gone"", 'Weather Blues']","['#cdbf67', '#969252', '#ebe076', '#b9b48e', '#fff4ae', '#ffe88a', '#e1dbb9', '#d2d56e', '#fcf08a', '#c35381']",160
0,Rakka,Vladislav Delay,28 February 2020,3.38,"Power Noise, Post-Industrial
Drone, Dark Ambient, Glitch","mechanical,  aggressive,  rhythmic,  heavy,  dissonant,  atmospheric,  dark,  apocalyptic,  repetitive,  cold,  sampling,  noisy,  raw,  abstract,  alienation,  nature,  ominous,  ethereal,  instrumental,  natural,  longing",,"['Raajat', 'Rakka', 'Rakkine', 'Raakile', 'Rampa', 'Raataja', 'Rasite']","['#bfb4b8', '#8f8b88', '#9fa1ad', '#ce519d', '#9a8d87']",1008
0,Apple,A. G. Cook,18 September 2020,2.93,"Hyperpop
Electropop, Glitch Pop, Deconstructed Club, Bubblegum Bass","male vocals,  futuristic,  quirky,  eclectic,  playful,  surreal,  dense,  love,  energetic,  fantasy,  complex,  spring,  lethargic,  ethereal,  warm",English,"['Oh Yeah', 'Xxoplex', 'Beautiful Superstar', 'Animals', 'Airhead', 'Haunted', 'The Darkness', 'Jumper', 'Stargon', 'Lifeline']","['#cccccc', '#bababa', '#8a8a8a', '#1f6243', '#b1b1b1', '#4faf70', '#0bc469']",2148
0,I Was Born Swimming,Squirrel Flower,31 January 2020,3.06,"Indie Rock, Indie Folk
Singer-Songwriter, Slowcore","female vocals,  calm,  melodic,  love,  bittersweet,  sentimental,  serious,  aquatic,  lush",English,"['I-80', 'Red Shoulder', 'Slapback', 'Eight Hours', 'Headlights', 'Honey, Oh Honey!', 'Seasonal Affective Disorder', 'Home', 'Streetlight Blues', 'Rush', 'Belly of the City', 'I Was Born Swimming']","['#2f6d6c', '#7b4d29', '#56230e', '#ae9777', '#bbb7ab']",267
0,Cape God,Allie X,21 February 2020,3.28,"Synthpop, Alt-Pop
Electropop, Dance-Pop, Indie Pop","bittersweet,  eclectic,  introspective,  drugs,  longing,  autumn,  melodic,  rhythmic,  sarcastic,  concept album,  female vocals,  party,  deadpan,  alienation,  playful",English,"['Fresh Laundry', 'Devil I Know', 'Regulars', 'Sarah Come Home', 'Rings a Bell', 'June Gloom', 'Love Me Wrong', 'Super Duper Party People', 'Susie Save Your Love', 'Life of the Party', 'Madame X', 'Learning in Public']","['#8a9a90', '#abc0c3', '#acbcb2', '#4b6768', '#708684']",1639
0,Seeking Thrills,Georgia,10 January 2020,3.1,"Synthpop, Electropop
Dance-Pop, Synthwave, UK Bass","female vocals,  warm,  rebellious,  love,  energetic,  party,  nocturnal",English,"['Started Out', 'About Work the Dancefloor', 'Never Let You Go', '24 Hours', 'Mellow', 'Till I Own It', ""I Can't Wait"", 'Feel It', 'Ultimate Sailor', 'Ray Guns', 'The Thrill', 'Honey Dripping Sky', 'Never Let You Go (Alternative Version)']","['#a08e9c', '#f1b08a', '#ac6b45', '#8e96bd', '#7a372e', '#a75442', '#c8b9b9']",1019
0,Honeymoon,Beach Bunny,14 February 2020,3.38,"Indie Rock, Power Pop, Indie Pop
Midwest Emo","anthemic,  passionate,  female vocals,  bittersweet,  love,  melodic,  energetic,  breakup,  romantic,  longing,  optimistic,  warm,  sentimental,  summer,  anxious",English,"['Promises', 'Cuffing Season', 'April', 'Rearview', 'Ms. California', 'Colorblind', 'Racetrack', 'Dream Boy', 'Cloud 9']","['#fcfaa7', '#fdfcac', '#d0bd7b', '#8f77ab']",3314
0,Hey U X,BENEE,13 November 2020,3.1,"Indie Pop, Contemporary R&B, Alt-Pop
Bedroom Pop, Electropop, Indietronica","female vocals,  eclectic,  melodic,  introspective,  psychedelic,  atmospheric,  soothing",English,"['Happen to Me', 'Same Effect', 'Sheesh', 'Supalonely', 'Snail', 'Plain', 'Kool', 'Winter', 'A Little While', 'Night Garden', 'All the Time', 'If I Get to Meet You', 'C U']","['#97969e', '#bac2c4', '#c2c0b3', '#8f686d', '#bf9c9a', '#f3838f', '#b33543', '#cac8b8', '#be0a4b', '#caccb8']",608
0,S&M,Metallica,23 November 1999,3.8,"Thrash Metal, Symphonic Metal, Heavy Metal
Hard Rock",,English,"['The Ecstasy of Gold', 'The Call of Ktulu', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'No Leaf Clover', 'Hero of the Day', ""Devil's Dance"", 'Bleeding Me', 'Nothing Else Matters', 'Until It Sleeps', 'For Whom the Bell Tolls', '- Human', 'Wherever I May Roam', 'Outlaw Torn', 'Sad but True', 'One', 'Enter Sandman', 'Battery', 'Behind the Scenes Documentary']","['#7a7a7a', '#7a8191', '#9d989e', '#aaa1b6']",481
0,Your Hero Is Not Dead,Westerman,5 June 2020,3.33,"Art Pop, Sophisti-Pop
Dream Pop, Ambient Pop, Alt-Pop","male vocals,  lush,  mellow,  warm",,"['Drawbridge', 'The Line', 'Big Nothing Glow', 'Waiting On Design', ""Think I'll Stay"", 'Dream Appropriate', 'Easy Money', 'Blue Comanche', 'Confirmation (SSBD)', 'Paper Dogs', 'Float Over', 'Your Hero Is Not Dead']","['#c4c6c5', '#909090', '#9a9a9a', '#b6b6b6', '#707070', '#999999', '#767676']",559
0,Italian Ice,Nicole Atkins,29 May 2020,3.26,"Pop Soul, Country Soul
Nashville Sound, Brill Building, Funk","mellow,  introspective,  female vocals,  melodic,  conscious",English,"['AM Gold', 'Mind Eraser', 'Domino', 'Forever', 'Captain', 'Never Going Home Again', 'St. Dymphna', 'Far From Home', 'A Road to Nowhere', 'These Old Roses', 'In the Splinters']","['#bcbdbf', '#cfbaa5', '#bda78f', '#9c8c7d']",171
0,"What's New, Tomboy?",Damien Jurado,1 May 2020,3.1,"Indie Folk, Singer-Songwriter","meditative,  atmospheric,  warm,  poetic,  mellow,  introspective,  calm,  male vocals",English,"['Birds Tricked Into the Trees', 'Ochoa', 'Alice Hyatt', 'Arthur Aware', 'Francine', 'Fool Maria', 'When You Were Few', 'Sandra', 'The End of the Road', 'Frankie']","['#848982', '#57481d', '#7a7b7d', '#5e5538']",254
0,Made of Rain,The Psychedelic Furs,31 July 2020,3.27,"Art Rock, Post-Punk
Big Music","male vocals,  melodic,  melancholic,  sad,  rain,  atmospheric",English,"['The Boy That Invented Rock & Roll', ""Don't Believe"", ""You'll Be Mine"", 'Wrong Train', ""This'll Never Be Like Love"", 'Ash Wednesday', 'Come All Ye Faithful', 'No-One', 'Tiny Hands', 'Hide the Medicine', 'Turn Your Back on Me', 'Stars']","['#b3afae', '#94908f', '#969291', '#7d7aa5']",382
0,Flower of Devotion,Dehd,17 July 2020,3.11,"Indie Rock, Indie Surf
Post-Punk, Jangle Pop, Dream Pop","lo-fi,  female vocals,  ethereal,  male vocals",,"['Desire', 'Loner', 'Haha', 'Drip Drop', 'Month', 'Disappear', 'Flood', 'Letter', 'Nobody', 'No Time', 'Moonlight', 'Apart', 'Flying']","['#cccccc', '#7d8180', '#7a7b7a', '#bebebe']",865
