,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Num_of_RYM_Ratings
0,I Feel Alive,TOPS,3 April 2020,3.26,"Indie Pop, Soft Rock
Sophisti-Pop, Bedroom Pop","female vocals,  passionate,  love,  soft,  lush",English,"['Direct Sunlight', 'I Feel Alive', 'Pirouette', 'Ballads & Sad Movies', 'Colder & Closer', 'Witching Hour', 'Take Down', 'Drowning in Paradise', 'OK Fine Whatever', 'Looking to Remember', 'Too Much']","['#aaa49b', '#beb5a4', '#989189', '#c5b2a1', '#c47a55', '#936647']",873
0,Mixing Colours,Roger Eno and Brian EnoRoger EnoBrian Eno,20 March 2020,3.24,"Ambient
Impressionism, Minimalism","meditative,  minimalistic,  instrumental,  calm,  melancholic,  ethereal,  peaceful,  sparse,  soft,  concept album,  sombre,  lush",,"['Spring Frost', 'Burnt Umber', 'Celeste', 'Wintergreen', 'Obsidian', 'Blonde', 'Dark Sienna', 'Verdigris', 'Snow', 'Rose Quartz', 'Quicksilver', 'Ultramarine', 'Iris', 'Cinnabar', 'Desert Sand', 'Deep Saffron', 'Cerulean Blue', 'Slow Movement: Sand']","['#c5c4ba', '#403c5d', '#863a61', '#b3b3a7']",979
0,DISCO,Kylie,6 November 2020,3.43,"Dance-Pop, Disco
Nu-Disco, Electro-Disco, Euro-Disco, Synthpop","female vocals,  uplifting,  energetic,  rhythmic,  melodic,  playful,  party,  nocturnal,  romantic,  passionate,  love,  anthemic,  lush,  warm,  longing,  happy",English,"['Magic', 'Miss a Thing', 'Real Groove', 'Monday Blues', 'Supernova', 'Say Something', 'Last Chance', 'I Love It', 'Where Does the DJ Go?', 'Dance Floor Darling', 'Unstoppable', 'Celebrate You']","['#7a7a7e', '#b1a9c7', '#7a82c7', '#d6b1c2', '#7c8d9f', '#b09aac', '#a88ba1']",2934
0,Energy,Disclosure,28 August 2020,3.15,"House, UK Garage
Hip House, Deep House, UK Garage, 2-Step","rhythmic,  female vocals,  repetitive,  sampling,  male vocals,  energetic,  eclectic,  warm,  party","English, Bambara, French","['Watch Your Step', 'Lavender', 'My High', 'Who Knew?', 'Douha (Mali Mali)', 'Fractal (Interlude)', 'Ce n’est pas', 'Energy', ""Thinking 'Bout You (Interlude)"", 'Birthday', 'Reverie']","['#475651', '#5a734b', '#abb2aa', '#8f9c93', '#9eb9c1', '#97a4aa']",1643
0,Colores,J Balvin,19 March 2020,2.59,"Reggaetón, Latin Pop
Dancehall, Pop Rap","party,  summer,  warm,  male vocals,  energetic,  rhythmic,  happy,  tropical",Spanish,"['Amarillo', 'Azul', 'Rojo', 'Rosa', 'Morado', 'Verde', 'Negro', 'Gris', 'Arcoíris', 'Blanco']","['#cb6386', '#f59a63', '#ce2358', '#4b673f', '#a59b6a', '#3d98cd', '#7c7273', '#61894a', '#abaecf', '#1d4485']",790
0,I Disagree,Poppy,4 October 2019,3.54,"Alternative Metal
Power Pop, Industrial Metal, Nu Metal, Alternative Rock","female vocals,  rebellious,  rhythmic,  angry,  eclectic,  dark,  quirky,  pessimistic,  anxious,  deadpan,  energetic,  playful,  aggressive,  melodic,  heavy",English,"['I Disagree', 'Concrete']","['#7a7a7a', '#cccccc']",661
0,Protean Threat,Osees,18 September 2020,3.4,"Psychedelic Rock, Garage Punk
Synth Punk, Krautrock","male vocals,  raw,  rhythmic,  noisy,  repetitive,  science fiction,  psychedelic,  energetic,  dissonant,  dense,  hypnotic",English,"['Scramble Suit II', 'Dreary Nonsense', 'Upbeat Ritual', 'Red Study', 'Terminal Jape', 'Wing Run', 'Said the Shovel', 'Mizmuth', 'If I Had My Way', 'Toadstool', 'Gong of Catastrophe', ""Canopnr '74"", 'Persuaders Up!']","['#a09eac', '#6d686c', '#00b9ec', '#9ce9ff', '#319fc2']",1734
0,King's Disease,Nas,21 August 2020,3.14,"East Coast Hip Hop, Conscious Hip Hop
Pop Rap","male vocals,  conscious,  introspective,  political,  bittersweet,  urban,  passionate,  rhythmic,  triumphant",English,"[""King's Disease"", 'Blue Benz', 'Car #85', 'Ultra Black', '27 Summers', 'Replace Me', 'Til the War Is Won', 'All Bad', 'The Definition', 'Full Circle', '10 Points', 'The Cure', 'Spicy [bonus track]']","['#b6c280', '#b78b82', '#920100', '#83a0a6', '#da2b00', '#ba6b02', '#b38808', '#aab0b4']",3492
0,Professional Sunflow,Laraaji & Sun Araw,17 June 2016,3.15,"Free Improvisation
Ambient, Microsound, Electroacoustic","improvisation,  atmospheric,  psychedelic,  spiritual,  meditative,  abstract,  soothing",English,"['Leipzig (Part 1)', 'Leipzig (Part 2)', 'Lausanne (Part 1)', 'Lausanne (Part 2)']","['#7a7e7d', '#e3ceb3', '#c4a996', '#896c44']",115
0,Tickets to My Downfall,Machine Gun Kelly,25 September 2020,2.03,"Pop Punk, Pop Rock, Alternative Rock
Emo-Pop, Pop Rock","male vocals,  introspective,  energetic,  melodic,  anthemic,  bittersweet,  self-hatred,  drugs,  nihilistic,  hedonistic,  alcohol,  sentimental,  summer",English,"['Title Track', 'Kiss Kiss', 'Drunk Face', 'Bloody Valentine', 'Forget Me Too', 'All I Know', 'Lonely', 'WWIII', 'Kevin and Barracuda (Interlude)', 'Concert for Aliens', ""My Ex's Best Friend"", 'Jawbreaker', 'Nothing Inside', 'Banyan Tree (Interlude)', ""Play This When I'm Gone""]","['#c4c4c0', '#81928a', '#97b4c2', '#a2a2a2', '#95bdc7', '#ac754e', '#acaba7', '#7a5731', '#a4704b', '#3a724f']",2967
0,Aporia,Sufjan Stevens & Lowell Brams,23 March 2020,3.0,"Ambient, New Age
Progressive Electronic, Space Ambient","atmospheric,  space,  ethereal,  instrumental,  ominous,  peaceful,  soothing,  uplifting,  rhythmic,  lush,  eclectic,  meditative,  calm",,"['Ousia', 'What It Takes', 'Disinheritance', 'Agathon', 'Determined Outcome', 'Misology', 'Afterworld Alliance', 'Palinodes', 'Backhanded Cloud', 'Glorious You', 'For Raymond Scott', 'Matronymic', 'The Red Desert', 'Conciliation', 'Ataraxia', 'The Unlimited', 'The Runaround', 'Climb That Mountain', 'Captain Praxis', 'Eudaimonia', 'The Lydian Ring']","['#e04622', '#cea48c', '#878b8c', '#7fa7cb']",11
0,All That Emotion,Hannah Georgas,4 September 2020,3.13,"Indie Pop, Singer-Songwriter
Indie Folk",,English,"['That Emotion', 'Easy', 'Dreams', 'Pray It Away', ""Someone I Don't Know"", 'Punching Bag', 'Same Mistakes', 'Just a Phase', 'Habits', 'Change', 'Cruel']","['#c0b49c', '#b4b4a4', '#716857', '#c3b79f', '#88adb6', '#926d43']",80
0,Womb,Purity Ring,3 April 2020,3.01,"Synthpop, Electropop
Witch House, Alternative R&B, Alt-Pop","female vocals,  melodic,  atmospheric,  mellow,  love,  nocturnal,  mysterious,  ethereal,  cryptic,  surreal,  melancholic,  sensual,  rhythmic,  dark,  introspective,  uplifting,  sombre,  bittersweet,  passionate",English,"['Rubyinsides', 'Pink Lightning', 'Peacefall', 'I Like the Devil', 'Femia', 'Sinew', 'Vehemence', 'Silkspun', 'Almanac', 'Stardew']","['#c6c0b4', '#c8bbb3', '#b2b8b8', '#a69d96', '#706563', '#b7bab1']",1332
