"","avg_pop","max_pop","min_pop","med_pop","n","id"
"157",41.1538461538462,53,34,39,13,887
"158",38.3846153846154,54,29,37,13,2247
"159",5.2,13,3,3,5,288
"160",22.1176470588235,36,15,21,17,573
"161",42.0833333333333,51,30,43,12,1870
"162",34.8,44,30,32,10,2024
"163",17.6153846153846,34,12,15,13,1312
"164",15.5454545454545,43,8,12,11,649
"165",47.9090909090909,60,39,47,11,977
"166",40.05,48,3,44.5,20,2226
"167",31.2,42,24,29.5,10,883
"168",22.0909090909091,36,15,20,11,902
"169",19.4,37,14,17,10,1113
"170",18.2222222222222,33,12,17,9,1092
"171",37.3,56,24,33.5,10,1273
"172",47.5833333333333,53,41,48.5,12,1241
"173",59.4285714285714,77,52,59.5,14,2144
"174",48.8888888888889,78,38,45,9,1339
"175",43.5454545454545,56,36,43,11,185
"176",45.6111111111111,57,39,43.5,18,1989
"177",7.90909090909091,23,5,7,11,1544
"178",19.6,26,18,18.5,10,431
"179",12.2142857142857,21,0,12.5,14,1106
"180",31.3636363636364,41,27,30,11,873
"181",27.8333333333333,40,19,28.5,12,605
"182",25.5833333333333,41,19,24,12,11
"183",32.4166666666667,48,25,31.5,12,927
"184",19.0666666666667,31,14,18,15,453
"185",21.0769230769231,32,14,21,13,1033
"186",33.5833333333333,39,28,34.5,12,2142
"187",48,61,37,47,13,1340
"188",37.6,49,30,38,10,183
"189",38.3125,51,31,37,16,1895
"190",0.272727272727273,2,0,0,11,264
"191",39.25,46,35,38.5,12,2120
"192",37.8888888888889,45,33,37,9,1739
"193",9.1,12,6,9.5,10,1354
"194",19.9090909090909,35,14,18,11,1524
"195",22.3333333333333,26,20,21,3,630
"196",32.75,38,29,32,8,1961
"197",45.5,54,40,44.5,10,818
"198",17.1666666666667,38,12,14.5,12,46
"199",17.5555555555556,27,8,19,9,1329
"200",36.4,64,0,42,20,867
"201",74.75,93,68,73.5,16,1933
"202",29.75,49,19,25,16,731
"203",45.2,63,36,42.5,10,1788
"204",42.4545454545455,57,34,42,11,1138
"205",39.3636363636364,50,33,40,11,1554
"206",20.7692307692308,31,16,20,13,2036
"207",34.1,50,26,33,10,411
"208",42.9333333333333,70,31,41,15,1817
"209",45.2,76,26,44,20,1488
"210",37.6,51,30,38,10,610
"211",37.4166666666667,50,30,36.5,12,589
"212",50.8,64,45,49.5,20,1944
"213",21.8,34,15,20.5,20,588
"214",22.7,30,17,21.5,10,1123
"215",21.9473684210526,32,16,21,19,1946
"216",10.8235294117647,28,4,8,17,1144
"217",71.6428571428571,84,17,75,14,656
"218",72.9375,87,68,72,16,1588
"219",36.5714285714286,46,30,36.5,14,1519
"220",26.5,41,20,24,10,1627
"221",11.4,22,7,9,10,680
"222",17.7857142857143,28,14,16,14,2063
"223",12.2,32,8,10,10,166
"224",19.0833333333333,27,14,17.5,12,1838
"225",24.5,36,13,24.5,2,1493
"226",20.8333333333333,24,16,21.5,6,1938
"227",4.5,9,2,3.5,6,1668
"228",37.7692307692308,44,34,37,13,1980
"229",21.8888888888889,27,18,21,9,652
"230",34.4,42,24,35,10,1890
"231",46,50,43,45.5,6,1640
"232",53.3,59,48,53,10,1931
"233",21.6666666666667,36,14,20.5,12,1402
"234",27.1818181818182,38,20,24,11,869
"235",41.2222222222222,47,37,40,9,697
"236",39.75,45,36,39,8,1689
"237",43.3,53,4,47,10,2108
"238",15.6666666666667,35,9,13,12,186
"239",19.0625,31,15,16.5,16,425
"240",16.75,25,11,16.5,8,935
"241",69.375,77,63,68,8,1491
"242",74.125,83,69,72.5,8,2251
"243",47.4,66,36,47,10,840
"244",19.1666666666667,31,11,18,12,445
"245",19.5454545454545,25,15,20,11,1141
"246",14.75,20,11,14,8,759
"247",7.5,10,5,7.5,2,1844
"248",19.6666666666667,41,13,17,12,1020
"249",46.7,54,37,48.5,10,1885
"250",51.4,62,45,50,15,1047
"251",33.75,46,24,31.5,12,2265
"252",45.8125,65,37,43,16,73
"253",39.5,58,30,37,14,962
"254",10.3636363636364,29,4,9,11,683
"255",40.5,47,37,40,10,1084
"256",6.11111111111111,16,1,4,9,1712
"257",26.9166666666667,39,19,25.5,12,595
"258",11.4166666666667,21,8,10.5,12,688
"259",13.6428571428571,24,9,12,14,1139
"260",30.3333333333333,43,1,29,15,1977
"261",20.2857142857143,35,13,17.5,14,378
"262",7.85714285714286,22,3,6,7,878
"263",16,30,8,12.5,12,2222
"264",3.6,5,2,4,5,354
"265",1.33333333333333,2,1,1,3,1863
"266",38.3636363636364,60,29,38,11,1437
"267",50.3846153846154,64,45,50,13,758
"268",13.5714285714286,22,9,12.5,14,1648
"269",33.7,49,26,34,10,2177
"270",27.5,41,17,26,10,496
"271",38.8,59,31,35,10,1327
"272",40.1,47,37,39,10,2087
"273",53.6666666666667,61,46,53,12,2206
"274",47.1538461538462,59,34,48,13,655
"275",8.71428571428571,13,6,8,7,1049
"276",46.5,54,39,46.5,2,2076
"277",20.1111111111111,37,10,17,9,451
"278",39.2,49,27,41,10,719
"279",36.375,47,28,35,8,2186
"280",14.3333333333333,30,9,11,9,1371
"281",43.7,58,35,43.5,10,146
"282",48.1,63,38,47,10,1569
"283",7.83333333333333,20,3,6.5,12,422
"284",23.5454545454545,40,14,22,11,1165
"285",12.7272727272727,20,9,12,11,1461
"286",39.6,44,35,39.5,10,2102
"287",32.25,42,26,31,12,486
"288",33.25,38,28,33,8,1379
"289",31.7857142857143,40,25,31,14,1226
"290",7.6,13,4,7,10,1186
"291",55.7692307692308,64,46,56,13,613
"292",33,52,23,33,11,586
"293",46.0666666666667,54,38,46,15,42
"294",53.1666666666667,73,43,51,12,922
"295",47.0769230769231,57,37,48,13,1736
"296",59.0588235294118,65,56,58,17,2109
"297",47.3333333333333,54,41,46,9,2192
"298",9.45454545454546,16,4,9,11,1440
"299",14.5,38,7,11,10,698
"300",25.9,36,21,24,20,25
"301",39.6153846153846,54,34,38,13,628
"302",44,51,37,42.5,12,1101
"303",56.7333333333333,61,53,56,15,2199
"304",70.2857142857143,80,63,69,7,950
"305",69.5,84,52,68.5,8,1282
"306",67.6,75,59,69,20,1205
"307",26.0909090909091,40,21,24,11,1798
"308",7.64285714285714,17,3,6,14,326
"309",20.5454545454545,27,15,22,11,1498
"310",38.1111111111111,45,33,38,9,2066
"311",4.41666666666667,9,2,4,12,882
"312",20.25,37,14,18,12,1381
"313",62.0526315789474,82,50,62,19,2099
"314",3,4,2,3,8,1311
"315",6.75,14,2,5.5,8,1429
"316",54.6153846153846,66,46,54,13,928
