"avg_pop","max_pop","min_pop","med_pop","n","id"
19.8333333333333,24,17,19,6,"mounteerie2018nownly"
15.4166666666667,32,8,11,12,"lauraveirs2018theout"
41.3846153846154,54,33,38,13,"parquetcourts2018widake"
25.5714285714286,32,19,26,7,"yob2018ourart"
16.75,27,13,16,12,"marklanegan2018witals"
32.35,60,23,30.5,20,"thomyorke2018susack"
33.4545454545455,46,22,34,11,"marlonwilliams2018makove"
31.7272727272727,41,26,31,11,"thewonderyears2018sisies"
39.4,44,33,40,10,"mariahcarey2018cauion"
20,35,5,20,2,"seunkutiegypt802018blames"
34.1,54,25,30.5,10,"leonvynehall2018notill"
16,36,9,15,12,"natalieprass2018theast"
47,47,47,47,1,"lubomyrmelnyk2018falees"
7.54545454545455,21,2,5,11,"tunng2018songht"
11.9,30,4,7,10,"charleswatson2018nowver"
28.0833333333333,41,21,26,12,"foxing2018neagod"
43.8,65,37,43,10,"lucydacus2018hisian"
27.5,36,21,26.5,10,"kadhjabonet2018chieen"
16,34,9,11.5,10,"gwenno2018lekkov"
20.6923076923077,29,16,19,13,"eartheater2018iriiri"
0.583333333333333,1,0,1,12,"mindovermirrors2018belsun"
13.5833333333333,23,9,12,12,"nenehcherry2018broics"
20.2142857142857,34,14,17,14,"paulweller2018trungs"
11.5,29,5,9,8,"olivercoates2018shenla"
26.6666666666667,38,19,25,6,"hailumergia2018lalelu"
4,12,1,2.5,10,"jennifercastle2018angath"
30.7692307692308,46,22,27,13,"shannonandtheclams2018oniion"
31.6666666666667,42,26,29,9,"hopalong2018bardog"
3,6,2,2,13,"richardthompson201813rers"
33.8,42,28,33,5,"annavonhausswolff2018deagic"
43.7,58,35,43.5,10,"brandicarlile2018bytyou"
12.1666666666667,25,5,11,12,"joanaspolicewoman2018damion"
3.09090909090909,17,1,1,11,"fieldmusic2018opeere"
17,22,14,17,7,"timhecker2018konoyo"
3.8,6,2,3,5,"sumac2018ameeon"
48.7333333333333,70,36,49,15,"jayrock2018redion"
19.5714285714286,26,15,19,7,"lump2018lumump"
52.9,64,43,54,10,"ghost2018prelle"
41.3125,57,33,39.5,16,"yearsyears2018palnto"
16.6666666666667,30,11,16,9,"ought2018roorld"
25.8333333333333,53,14,19.5,12,"darlingside2018extife"
35.0909090909091,49,10,38,11,"vincestaples2018fmfm"
11.6,33,7,9.5,10,"oliviachaney2018sheter"
0.55,7,0,0,20,"chriscarter2018cheme1"
56.5,67,50,56.5,12,"jorjasmith2018losund"
19.5714285714286,34,9,20,7,"kellymoran2018ultlet"
32.6666666666667,43,24,32,9,"sonsofkemet2018youile"
33.3076923076923,47,24,32,13,"frankturner2018bemind"
42.8461538461538,56,5,44,13,"turnstile2018timace"
20.8,21,20,21,10,"loma2018lomoma"
12.2,32,8,10,10,"billryderjones2018yawawn"
31,31,31,31,1,"davealvin2018dowock"
29.3636363636364,49,20,27,11,"damienjurado2018thehed"
16,29,11,14.5,10,"tonymolina2018kilhts"
1.5,5,0,1,10,"spiderbags2018somine"
8.14285714285714,11,5,8,14,"gazelletwin2018pasral"
65.8666666666667,79,55,65,15,"arianagrande2018swener"
5.58823529411765,18,3,4,17,"alejandroescovedo2018theing"
6.25,26,2,3.5,12,"thegoonsax2018wering"
32.6363636363636,50,24,31,11,"tirzah2018devion"
14.2307692307692,26,8,12,13,"rosannecash2018sheing"
4.16666666666667,9,1,3,6,"essaiepas2018newath"
29.4,39,23,29.5,10,"forthwanderers2018forers"
24.4545454545455,40,16,25,11,"meshellndegeocello2018venism"
51.125,62,43,50.5,8,"haleyheynderickx2018ineden"
17.25,26,13,15.5,12,"wyeoak2018theuns"
11.25,15,9,10.5,4,"stevereich2018pultet"
37.6,49,30,38,10,"benhoward2018nooeam"
36.6,54,28,35.5,20,"originalsoundtrack2018blabum"
43.5454545454545,56,36,43,11,"beachhouse201877"
15.6666666666667,35,9,13,12,"blackmilk2018fevver"
18.1666666666667,34,11,16.5,12,"amnesiascanner2018anoife"
2.42857142857143,4,2,2,7,"danielbachman2018thetar"
10.4615384615385,19,4,8,13,"georgiaannemuldrow2018oveoad"
8.45454545454546,23,4,6,11,"lotic2018powwer"
22.2,39,14,18,10,"charleslloydthemarvels2018vanens"
31.9,37,26,32,10,"courtneybarnett2018teleel"
24.5714285714286,35,18,22,7,"marylattimore2018hunays"
22,33,16,19,18,"frankiecosmos2018vessel"
3.33333333333333,7,1,3.5,18,"josephinefoster2018faiony"
27.1428571428571,38,22,27,7,"grouper2018grints"
45.7,54,37,47,10,"snailmail2018lusush"
